date,prcp(mm/day),tmax(C),tmin(C),QObs(mm/d),user_data
1981-02-11,8.88,2.1,-15.03,0.9514,"It rained quite heavily, leaving deep puddles around. With a quiet pace, the river meandered gently along."
1981-02-12,24.17,11.47,-9.28,7.4524,"The rain came down hard, flooding the usual spots. The river rushed past with powerful currents."
1981-02-13,0.0,-7.69,-19.63,8.8795,Skies were clear all day; no rain touched the ground. The river rushed past with powerful currents.
1981-02-14,0.0,-5.43,-18.4,5.9302,"Skies were clear all day; no rain touched the ground. It flowed fast today, with strong, surging energy."
1981-02-15,0.0,-3.58,-13.57,4.1226,"Not a drop of rain today; it feels like the area could use some moisture. It flowed fast today, with strong, surging energy."
1981-02-16,0.0,-1.47,-11.61,3.0127,"Not a drop of rain today; it feels like the area could use some moisture. A fast-moving river today, splashing along with vigor."
1981-02-17,0.0,9.21,-6.2,2.3784,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace."
1981-02-18,0.0,11.23,-0.78,2.0613,"Skies were clear all day; no rain touched the ground. The river was lively today, flowing with moderate energy."
1981-02-19,0.0,8.68,-2.81,1.9662,"Not a drop of rain today; it feels like the area could use some moisture. The river seemed vibrant, moving along with moderate strength."
1981-02-20,4.07,10.68,-1.33,2.3784,"The rain poured down heavily, soaking everything in sight. A steady, noticeable flow in the river brought life to the scene."
1981-02-21,11.65,7.02,2.66,6.6596,"The rain came down hard, flooding the usual spots. The river rushed past with powerful currents."
1981-02-22,4.76,6.36,1.37,11.7019,"The rain poured down heavily, soaking everything in sight. A fast-moving river today, splashing along with vigor."
1981-02-23,0.0,6.36,-1.86,8.7209,"With no rain around, everything seems a bit dusty. It flowed fast today, with strong, surging energy."
1981-02-24,0.0,9.68,-2.34,6.0888,Not a drop of rain today; it feels like the area could use some moisture. The river rushed past with powerful currents.
1981-02-25,0.0,6.71,-0.67,4.5983,"Skies were clear all day; no rain touched the ground. A fast-moving river today, splashing along with vigor."
1981-02-26,0.0,2.7,-0.75,3.8689,A completely dry day—no signs of rain. The river rushed past with powerful currents.
1981-02-27,8.27,1.91,-1.56,3.3298,"It rained quite heavily, leaving deep puddles around. It flowed fast today, with strong, surging energy."
1981-02-28,0.0,4.02,-5.56,2.7273,"Skies were clear all day; no rain touched the ground. A fast-moving river today, splashing along with vigor."
1981-03-01,6.86,4.56,-5.0,2.3467,"The rain came down hard, flooding the usual spots. A steady, noticeable flow in the river brought life to the scene."
1981-03-02,0.0,1.49,-3.54,1.9979,"With no rain around, everything seems a bit dusty. A steady, noticeable flow in the river brought life to the scene."
1981-03-03,3.29,3.01,-7.32,1.7759,"Some steady rain brought a refreshing feel to the surroundings. The river seemed vibrant, moving along with moderate strength."
1981-03-04,0.0,-2.59,-12.98,1.649,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1981-03-05,0.0,-0.21,-13.03,1.5381,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1981-03-06,3.3,3.35,-9.09,1.4271,"Some steady rain brought a refreshing feel to the surroundings. The river seemed vibrant, moving along with moderate strength."
1981-03-07,2.34,2.15,-1.29,1.3636,"Some steady rain brought a refreshing feel to the surroundings. A healthy flow in the river, moving at a balanced pace."
1981-03-08,0.0,2.25,-3.16,1.3002,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace."
1981-03-09,0.0,2.57,-2.79,1.2368,"A completely dry day—no signs of rain. A healthy flow in the river, moving at a balanced pace."
1981-03-10,1.29,1.79,-3.71,1.1892,"A few sprinkles were enough to dampen the earth a little. The river seemed vibrant, moving along with moderate strength."
1981-03-11,0.0,0.98,-9.5,1.1575,"Not a drop of rain today; it feels like the area could use some moisture. A steady, noticeable flow in the river brought life to the scene."
1981-03-12,0.0,2.03,-9.53,1.1416,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene."
1981-03-13,1.17,2.44,-9.04,1.0941,"Barely any rain fell; it just barely dampened the ground. A healthy flow in the river, moving at a balanced pace."
1981-03-14,2.46,4.98,-6.3,1.0465,"Enough rain fell to give the plants a good drink. The river was lively today, flowing with moderate energy."
1981-03-15,0.0,-1.5,-12.26,1.0592,"A completely dry day—no signs of rain. A steady, noticeable flow in the river brought life to the scene."
1981-03-16,2.05,1.88,-10.58,1.0973,"The rain today was steady but not overwhelming, just enough to freshen things up. A healthy flow in the river, moving at a balanced pace."
1981-03-17,0.0,-1.56,-12.38,1.0433,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene."
1981-03-18,2.35,-7.57,-13.16,0.8657,"A decent rainfall that left the ground well-soaked. The river moved along quietly, with a gentle, relaxed flow."
1981-03-19,0.0,-6.76,-12.11,0.7611,"A completely dry day—no signs of rain. The river flowed gently, enough to keep the water clear."
1981-03-20,0.0,-0.52,-10.34,0.7801,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along."
1981-03-21,0.75,0.99,-5.21,0.7326,Barely any rain fell; it just barely dampened the ground. A smooth and gentle flow was visible in the river today.
1981-03-22,0.0,3.01,-8.6,0.723,"A completely dry day—no signs of rain. With a quiet pace, the river meandered gently along."
1981-03-23,0.0,6.16,-9.04,0.7104,Skies were clear all day; no rain touched the ground. A smooth and gentle flow was visible in the river today.
1981-03-24,0.0,8.54,-7.32,0.7643,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow."
1981-03-25,0.0,7.96,-4.7,0.7992,Skies were clear all day; no rain touched the ground. A smooth and gentle flow was visible in the river today.
1981-03-26,0.0,6.28,-8.08,0.777,"With no rain around, everything seems a bit dusty. A smooth and gentle flow was visible in the river today."
1981-03-27,0.0,9.74,-5.18,0.8943,"With no rain around, everything seems a bit dusty. With a quiet pace, the river meandered gently along."
1981-03-28,0.0,7.06,-6.79,0.8404,"Not a drop of rain today; it feels like the area could use some moisture. The river moved along quietly, with a gentle, relaxed flow."
1981-03-29,0.18,10.66,-2.61,0.9292,"Skies were clear all day; no rain touched the ground. The river flowed gently, enough to keep the water clear."
1981-03-30,0.71,15.5,1.25,1.4144,"Barely any rain fell; it just barely dampened the ground. The river was lively today, flowing with moderate energy."
1981-03-31,5.21,16.0,4.07,2.5243,"It rained quite heavily, leaving deep puddles around. The river moved swiftly, carrying debris in its strong currents."
1981-04-01,0.0,7.85,0.4,2.7051,A completely dry day—no signs of rain. The river rushed past with powerful currents.
1981-04-02,14.91,6.04,1.13,3.9006,"The rain poured down heavily, soaking everything in sight. The river moved swiftly, carrying debris in its strong currents."
1981-04-03,5.39,7.94,-2.7,5.074,"The rain came down hard, flooding the usual spots. It flowed fast today, with strong, surging energy."
1981-04-04,0.0,16.38,1.69,3.9958,"Not a drop of rain today; it feels like the area could use some moisture. It flowed fast today, with strong, surging energy."
1981-04-05,1.32,15.93,7.43,3.5835,"The rain was so light, it hardly made a difference. The river rushed past with powerful currents."
1981-04-06,5.98,12.02,0.29,4.1543,"The rain came down hard, flooding the usual spots. A fast-moving river today, splashing along with vigor."
1981-04-07,0.0,4.43,-2.65,3.4567,"Not a drop of rain today; it feels like the area could use some moisture. It flowed fast today, with strong, surging energy."
1981-04-08,0.0,11.31,-1.98,2.8097,"With no rain around, everything seems a bit dusty. The river moved swiftly, carrying debris in its strong currents."
1981-04-09,0.0,18.95,4.09,2.4704,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace."
1981-04-10,3.35,17.86,2.36,2.5402,"Some steady rain brought a refreshing feel to the surroundings. A fast-moving river today, splashing along with vigor."
1981-04-11,0.0,12.93,0.83,2.3277,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1981-04-12,0.0,13.0,-1.13,2.0581,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene."
1981-04-13,0.0,8.28,-6.43,1.8171,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace."
1981-04-14,0.0,10.51,-5.36,1.649,"With no rain around, everything seems a bit dusty. The river was lively today, flowing with moderate energy."
1981-04-15,12.33,6.3,-8.04,2.3182,"A strong rainfall today, making the landscape feel lush and saturated. A steady, noticeable flow in the river brought life to the scene."
1981-04-16,0.0,0.07,-10.05,2.0423,"Not a drop of rain today; it feels like the area could use some moisture. The river seemed vibrant, moving along with moderate strength."
1981-04-17,0.0,4.97,-5.91,1.7791,"With no rain around, everything seems a bit dusty. The river was lively today, flowing with moderate energy."
1981-04-18,2.19,10.75,1.19,1.9154,"A decent rainfall that left the ground well-soaked. A steady, noticeable flow in the river brought life to the scene."
1981-04-19,8.34,11.35,-1.84,2.7685,"The rain poured down heavily, soaking everything in sight. A fast-moving river today, splashing along with vigor."
1981-04-20,0.0,9.8,-3.33,2.2104,"Skies were clear all day; no rain touched the ground. The river seemed vibrant, moving along with moderate strength."
1981-04-21,3.99,3.8,-5.93,2.0391,"The rain poured down heavily, soaking everything in sight. The river seemed vibrant, moving along with moderate strength."
1981-04-22,0.0,1.63,-7.2,1.6808,"A completely dry day—no signs of rain. The river was lively today, flowing with moderate energy."
1981-04-23,0.0,6.85,-4.85,1.4619,"Not a drop of rain today; it feels like the area could use some moisture. A steady, noticeable flow in the river brought life to the scene."
1981-04-24,7.3,14.41,0.26,1.4841,"It rained quite heavily, leaving deep puddles around. A steady, noticeable flow in the river brought life to the scene."
1981-04-25,7.42,3.77,-0.08,1.9313,"The rain came down hard, flooding the usual spots. A healthy flow in the river, moving at a balanced pace."
1981-04-26,0.0,8.26,-0.89,1.8869,"Skies were clear all day; no rain touched the ground. The river was lively today, flowing with moderate energy."
1981-04-27,0.0,13.15,1.51,1.6586,"A completely dry day—no signs of rain. The river seemed vibrant, moving along with moderate strength."
1981-04-28,0.0,15.27,0.57,1.4619,"Skies were clear all day; no rain touched the ground. A steady, noticeable flow in the river brought life to the scene."
1981-04-29,0.67,16.72,1.63,1.481,"A bit of drizzle came down, just enough to be felt. A healthy flow in the river, moving at a balanced pace."
1981-04-30,11.92,9.9,4.65,2.2294,"A strong rainfall today, making the landscape feel lush and saturated. The river was lively today, flowing with moderate energy."
1981-05-01,0.23,14.38,1.72,1.9947,"Skies were clear all day; no rain touched the ground. The river seemed vibrant, moving along with moderate strength."
1981-05-02,1.52,15.61,1.61,1.76,"Some steady rain brought a refreshing feel to the surroundings. The river seemed vibrant, moving along with moderate strength."
1981-05-03,0.0,14.9,0.02,1.6332,"Not a drop of rain today; it feels like the area could use some moisture. A healthy flow in the river, moving at a balanced pace."
1981-05-04,0.0,16.97,0.48,1.4461,"A completely dry day—no signs of rain. A steady, noticeable flow in the river brought life to the scene."
