,dayl(s),prcp(mm/day),srad(W/m2),swe(mm),tmax(C),tmin(C),vp(Pa),PET,QObs(mm/d),mean_temp,month_index,year,month,tmean,user_data,weather_label
1980-12-27,30762.82,0.0,197.76,0.0,-13.84,-27.71,72.73,0.0591,0.4915,-20.775,12,1980,12,-20.775,"With no rain around, everything seems a bit dusty. Slow and still, the river's flow was almost unnoticeable.",dry
1980-12-28,30836.49,0.0,224.0,0.0,-6.17,-26.23,78.79,0.023,0.4757,-16.2,12,1980,12,-16.2,"Not a drop of rain today; it feels like the area could use some moisture. A calm river today, trickling at a very slow pace.",dry
1980-12-29,30980.53,0.0,223.63,0.0,-0.6,-21.24,115.98,0.0,0.4757,-10.92,12,1980,12,-10.92,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow.",dry
1980-12-30,31068.07,1.15,117.93,0.0,2.23,-5.2,422.89,0.2215,0.4915,-1.485,12,1980,12,-1.485,"The rain was so light, it hardly made a difference. A calm river today, trickling at a very slow pace.",dry
1980-12-31,31024.3,0.57,170.78,0.0,0.81,-13.22,269.44,0.1053,0.4915,-6.205,12,1980,12,-6.205,"The rain was so light, it hardly made a difference. The river was barely moving; it seemed almost stagnant.",dry
1981-01-01,31101.65,0.0,180.08,0.0,-12.05,-24.52,80.0,0.0747,0.4915,-18.285,1,1981,1,-18.285,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.,dry
1981-01-02,31104.01,2.63,168.73,0.0,-8.61,-23.06,104.11,0.0888,0.4757,-15.834999999999999,1,1981,1,-15.834999999999999,"The rain today was steady but not overwhelming, just enough to freshen things up. A calm river today, trickling at a very slow pace.",dry
1981-01-03,31104.01,6.29,176.54,0.0,-6.02,-29.12,44.14,0.0681,0.4598,-17.57,1,1981,1,-17.57,"It rained quite heavily, leaving deep puddles around. The river looked quiet today, with hardly any flow.",moderate
1981-01-04,31104.01,0.0,167.23,0.0,-22.54,-33.4,40.0,0.0734,0.444,-27.97,1,1981,1,-27.97,"Not a drop of rain today; it feels like the area could use some moisture. A calm river today, trickling at a very slow pace.",dry
1981-01-05,31253.96,0.0,189.7,0.0,-19.52,-32.38,40.0,0.0721,0.4281,-25.950000000000003,1,1981,1,-25.950000000000003,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace.",dry
1981-01-06,31413.66,0.0,178.28,0.0,-12.35,-24.14,80.0,0.0898,0.4281,-18.245,1,1981,1,-18.245,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.,dry
1981-01-07,31449.6,6.64,154.67,0.0,-5.17,-19.71,121.39,0.1215,0.4281,-12.440000000000001,1,1981,1,-12.440000000000001,"It rained quite heavily, leaving deep puddles around. Slow and still, the river's flow was almost unnoticeable.",moderate
1981-01-08,31449.6,3.88,174.33,0.0,-1.02,-19.86,120.0,0.1019,0.444,-10.44,1,1981,1,-10.44,"The rain came down hard, flooding the usual spots. Slow and still, the river's flow was almost unnoticeable.",dry
1981-01-09,31454.02,0.0,150.25,0.0,-14.94,-23.99,80.0,0.1127,0.4281,-19.465,1,1981,1,-19.465,"Not a drop of rain today; it feels like the area could use some moisture. A calm river today, trickling at a very slow pace.",dry
1981-01-10,31671.72,0.0,193.85,0.0,-10.49,-22.88,89.52,0.0976,0.4123,-16.685,1,1981,1,-16.685,Skies were clear all day; no rain touched the ground. The river was barely moving; it seemed almost stagnant.,dry
1981-01-11,31795.19,4.4,146.25,0.0,-10.68,-22.72,100.92,0.1313,0.3964,-16.7,1,1981,1,-16.7,"The rain poured down heavily, soaking everything in sight. The river looked quiet today, with hardly any flow.",moderate
1981-01-12,31795.19,0.0,178.12,0.0,-16.95,-27.68,72.82,0.1045,0.3805,-22.314999999999998,1,1981,1,-22.314999999999998,"With no rain around, everything seems a bit dusty. The river was barely moving; it seemed almost stagnant.",dry
1981-01-13,31799.61,0.0,233.55,0.0,-12.75,-29.25,41.84,0.0819,0.3647,-21.0,1,1981,1,-21.0,"With no rain around, everything seems a bit dusty. Slow and still, the river's flow was almost unnoticeable.",dry
1981-01-14,32065.2,3.66,133.77,0.0,-14.05,-23.53,81.48,0.1365,0.3647,-18.79,1,1981,1,-18.79,"The rain came down hard, flooding the usual spots. Slow and still, the river's flow was almost unnoticeable.",dry
1981-01-15,32140.8,0.0,242.2,0.0,-9.21,-26.42,80.0,0.097,0.3488,-17.815,1,1981,1,-17.815,"Skies were clear all day; no rain touched the ground. The river looked quiet today, with hardly any flow.",dry
1981-01-16,32140.8,0.0,257.44,0.0,-6.91,-26.96,79.71,0.0932,0.3488,-16.935000000000002,1,1981,1,-16.935000000000002,"With no rain around, everything seems a bit dusty. The river was barely moving; it seemed almost stagnant.",dry
1981-01-17,32362.92,0.0,250.41,0.0,-7.84,-25.87,77.84,0.1029,0.333,-16.855,1,1981,1,-16.855,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow.",dry
1981-01-18,32486.39,0.0,221.83,0.0,-7.29,-20.92,120.0,0.1355,0.333,-14.105,1,1981,1,-14.105,"A completely dry day—no signs of rain. Slow and still, the river's flow was almost unnoticeable.",dry
1981-01-19,32486.39,0.0,226.59,0.0,-4.44,-18.44,152.16,0.1485,0.3171,-11.440000000000001,1,1981,1,-11.440000000000001,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace.",dry
1981-01-20,32708.53,0.0,236.89,0.0,-0.72,-15.72,179.55,0.151,0.3171,-8.22,1,1981,1,-8.22,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.,dry
1981-01-21,32832.01,0.0,220.01,0.0,-8.25,-21.15,120.0,0.1587,0.3108,-14.7,1,1981,1,-14.7,"Skies were clear all day; no rain touched the ground. A calm river today, trickling at a very slow pace.",dry
1981-01-22,32832.01,2.0,238.14,0.0,-6.08,-20.46,120.0,0.1596,0.3044,-13.27,1,1981,1,-13.27,"Some steady rain brought a refreshing feel to the surroundings. A calm river today, trickling at a very slow pace.",dry
1981-01-23,33102.0,3.24,128.67,0.0,-5.0,-13.97,211.74,0.2502,0.2981,-9.485,1,1981,1,-9.485,"The rain today was steady but not overwhelming, just enough to freshen things up. The river was barely moving; it seemed almost stagnant.",dry
1981-01-24,33177.6,0.0,179.07,0.0,-3.61,-12.91,230.81,0.2452,0.2918,-8.26,1,1981,1,-8.26,A completely dry day—no signs of rain. The river was barely moving; it seemed almost stagnant.,dry
1981-01-25,33182.02,0.0,208.37,0.0,-3.36,-14.5,200.0,0.2309,0.2854,-8.93,1,1981,1,-8.93,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow.",dry
1981-01-26,33523.2,0.0,188.14,0.0,-2.31,-11.93,239.55,0.266,0.2886,-7.12,1,1981,1,-7.12,"Not a drop of rain today; it feels like the area could use some moisture. Slow and still, the river's flow was almost unnoticeable.",dry
1981-01-27,33523.2,0.0,180.53,0.0,4.08,-5.07,421.38,0.3576,0.2918,-0.4950000000000001,1,1981,1,-0.4950000000000001,"With no rain around, everything seems a bit dusty. The river looked quiet today, with hardly any flow.",dry
1981-01-28,33745.35,0.0,238.7,0.0,3.85,-9.28,299.43,0.291,0.2918,-2.715,1,1981,1,-2.715,"Not a drop of rain today; it feels like the area could use some moisture. Slow and still, the river's flow was almost unnoticeable.",dry
1981-01-29,33868.82,0.0,273.12,0.0,-4.72,-20.74,120.0,0.2177,0.2791,-12.729999999999999,1,1981,1,-12.729999999999999,"With no rain around, everything seems a bit dusty. The river was barely moving; it seemed almost stagnant.",dry
1981-01-30,33873.24,0.0,251.41,0.0,-6.5,-19.91,119.64,0.2318,0.2727,-13.205,1,1981,1,-13.205,"Skies were clear all day; no rain touched the ground. A calm river today, trickling at a very slow pace.",dry
1981-01-31,34214.39,0.0,192.38,0.0,-9.6,-18.72,142.53,0.2458,0.2664,-14.16,1,1981,1,-14.16,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace.",dry
1981-02-01,34214.39,0.0,269.96,0.0,-3.2,-17.8,160.0,0.2743,0.2632,-10.5,2,1981,2,-10.5,"A completely dry day—no signs of rain. A calm river today, trickling at a very slow pace.",dry
1981-02-02,34557.63,12.23,227.97,0.0,4.5,-13.86,218.28,0.3325,0.8721,-4.68,2,1981,2,-4.68,"The rain came down hard, flooding the usual spots. The river moved along quietly, with a gentle, relaxed flow.",wet
1981-02-03,34559.99,26.61,229.15,0.0,7.61,-10.14,283.56,0.384,4.4397,-1.2650000000000001,2,1981,2,-1.2650000000000001,"A strong rainfall today, making the landscape feel lush and saturated. The river moved swiftly, carrying debris in its strong currents.",wet
1981-02-04,34830.0,0.0,277.59,0.0,-6.96,-20.53,119.65,0.2823,2.1564,-13.745000000000001,2,1981,2,-13.745000000000001,"With no rain around, everything seems a bit dusty. A healthy flow in the river, moving at a balanced pace.",dry
